Week;Usmrteni;Sunspot
42.tyzden.2011;15;165.428571
43.tyzden.2011;16;105.000000
44.tyzden.2011;6;118.857143
45.tyzden.2011;5;167.428571
46.tyzden.2011;12;135.428571
47.tyzden.2011;4;135.857143
48.tyzden.2011;11;133.857143
49.tyzden.2011;8;128.857143
50.tyzden.2011;10;79.571429
51.tyzden.2011;14;102.714286
52.tyzden.2011;9;106.333333
1.tyzden.2012;11;106.000000
2.tyzden.2012;5;86.000000
3.tyzden.2012;8;121.285714
4.tyzden.2012;6;70.142857
5.tyzden.2012;3;55.285714
6.tyzden.2012;0;36.714286
7.tyzden.2012;3;57.000000
8.tyzden.2012;16;53.714286
9.tyzden.2012;2;43.285714
10.tyzden.2012;3;108.000000
11.tyzden.2012;9;88.571429
12.tyzden.2012;9;80.142857
13.tyzden.2012;3;87.714286
14.tyzden.2012;1;53.714286
15.tyzden.2012;4;44.714286
16.tyzden.2012;10;125.142857
17.tyzden.2012;8;120.428571
18.tyzden.2012;7;93.285714
19.tyzden.2012;9;95.428571
20.tyzden.2012;2;116.428571
21.tyzden.2012;14;87.142857
22.tyzden.2012;17;112.285714
23.tyzden.2012;5;130.428571
24.tyzden.2012;9;112.285714
25.tyzden.2012;11;29.428571
26.tyzden.2012;13;77.571429
27.tyzden.2012;11;129.714286
28.tyzden.2012;9;119.285714
29.tyzden.2012;6;53.857143
30.tyzden.2012;13;88.000000
31.tyzden.2012;1;138.000000
32.tyzden.2012;2;119.714286
33.tyzden.2012;13;49.285714
34.tyzden.2012;12;73.857143
35.tyzden.2012;4;114.428571
36.tyzden.2012;11;119.142857
37.tyzden.2012;7;64.857143
38.tyzden.2012;13;69.142857
39.tyzden.2012;12;107.428571
40.tyzden.2012;14;59.857143
41.tyzden.2012;6;75.142857
42.tyzden.2012;11;99.285714
43.tyzden.2012;7;78.428571
44.tyzden.2012;6;52.142857
45.tyzden.2012;3;68.000000
46.tyzden.2012;9;132.428571
47.tyzden.2012;8;95.857143
48.tyzden.2012;8;67.714286
49.tyzden.2012;6;44.142857
50.tyzden.2012;7;59.428571
51.tyzden.2012;16;65.857143
52.tyzden.2012;8;59.375000
1.tyzden.2013;5;132.666667
2.tyzden.2013;3;150.571429
3.tyzden.2013;2;74.142857
4.tyzden.2013;6;56.285714
5.tyzden.2013;4;61.571429
6.tyzden.2013;4;50.428571
7.tyzden.2013;3;50.000000
8.tyzden.2013;1;79.285714
9.tyzden.2013;10;71.000000
10.tyzden.2013;6;81.142857
11.tyzden.2013;3;112.714286
12.tyzden.2013;8;58.857143
13.tyzden.2013;6;56.285714
14.tyzden.2013;1;103.428571
15.tyzden.2013;5;125.000000
16.tyzden.2013;4;90.857143
17.tyzden.2013;2;99.142857
18.tyzden.2013;6;123.857143
19.tyzden.2013;2;123.285714
20.tyzden.2013;3;162.142857
21.tyzden.2013;3;112.285714
22.tyzden.2013;1;71.714286
23.tyzden.2013;1;54.142857
24.tyzden.2013;7;55.000000
25.tyzden.2013;5;124.285714
26.tyzden.2013;7;75.714286
27.tyzden.2013;7;113.285714
28.tyzden.2013;9;80.000000
29.tyzden.2013;12;74.142857
30.tyzden.2013;4;72.000000
31.tyzden.2013;16;99.714286
32.tyzden.2013;10;77.857143
33.tyzden.2013;10;105.142857
34.tyzden.2013;5;116.285714
35.tyzden.2013;3;60.142857
36.tyzden.2013;7;59.428571
37.tyzden.2013;8;31.142857
38.tyzden.2013;12;64.142857
39.tyzden.2013;5;60.571429
40.tyzden.2013;6;58.857143
41.tyzden.2013;10;108.714286
42.tyzden.2013;6;131.428571
43.tyzden.2013;14;133.142857
44.tyzden.2013;3;129.000000
45.tyzden.2013;6;129.714286
46.tyzden.2013;9;159.142857
47.tyzden.2013;4;87.857143
48.tyzden.2013;10;81.857143
49.tyzden.2013;12;108.285714
50.tyzden.2013;9;152.857143
51.tyzden.2013;11;130.285714
52.tyzden.2013;8;109.444444
1.tyzden.2014;6;136.000000
2.tyzden.2014;11;135.142857
3.tyzden.2014;12;98.000000
4.tyzden.2014;7;125.000000
5.tyzden.2014;8;93.000000
6.tyzden.2014;7;150.000000
7.tyzden.2014;14;135.571429
8.tyzden.2014;5;133.142857
9.tyzden.2014;2;180.000000
10.tyzden.2014;2;134.857143
11.tyzden.2014;7;115.714286
12.tyzden.2014;10;137.857143
13.tyzden.2014;2;120.142857
14.tyzden.2014;3;125.000000
15.tyzden.2014;3;86.285714
16.tyzden.2014;3;166.428571
17.tyzden.2014;16;87.000000
18.tyzden.2014;3;98.857143
19.tyzden.2014;3;136.285714
20.tyzden.2014;6;147.285714
21.tyzden.2014;7;92.714286
22.tyzden.2014;6;66.142857
23.tyzden.2014;17;97.285714
24.tyzden.2014;6;154.571429
25.tyzden.2014;3;93.857143
26.tyzden.2014;7;67.142857
27.tyzden.2014;4;161.285714
28.tyzden.2014;6;150.285714
29.tyzden.2014;7;25.000000
30.tyzden.2014;3;54.714286
31.tyzden.2014;2;140.285714
32.tyzden.2014;13;106.285714
33.tyzden.2014;7;91.571429
34.tyzden.2014;17;120.571429
35.tyzden.2014;7;86.142857
36.tyzden.2014;11;121.571429
37.tyzden.2014;6;144.714286
38.tyzden.2014;8;95.285714
39.tyzden.2014;8;144.428571
40.tyzden.2014;5;132.857143
41.tyzden.2014;6;52.142857
42.tyzden.2014;3;70.285714
43.tyzden.2014;6;125.428571
44.tyzden.2014;5;95.714286
45.tyzden.2014;2;103.714286
46.tyzden.2014;12;96.857143
47.tyzden.2014;4;78.857143
48.tyzden.2014;10;137.857143
49.tyzden.2014;5;93.285714
50.tyzden.2014;5;107.285714
51.tyzden.2014;4;160.428571
52.tyzden.2014;11;97.200000
1.tyzden.2015;3;108.250000
2.tyzden.2015;3;102.571429
3.tyzden.2015;12;74.857143
4.tyzden.2015;9;56.571429
5.tyzden.2015;7;132.285714
6.tyzden.2015;1;88.571429
7.tyzden.2015;3;66.142857
8.tyzden.2015;5;60.142857
9.tyzden.2015;3;45.142857
tyzden.2015;5;33.857143
11.tyzden.2015;10;47.714286
12.tyzden.2015;9;43.000000
13.tyzden.2015;6;95.000000
tyzden.2015;2;44.428571
15.tyzden.2015;5;54.285714
16.tyzden.2015;4;114.000000
tyzden.2015;6;103.857143
18.tyzden.2015;12;32.857143
19.tyzden.2015;3;132.571429
20.tyzden.2015;3;140.000000
21.tyzden.2015;6;72.857143
22.tyzden.2015;6;34.142857
23.tyzden.2015;16;74.714286
24.tyzden.2015;1;96.714286
25.tyzden.2015;11;67.714286
26.tyzden.2015;10;34.285714
27.tyzden.2015;10;72.142857
28.tyzden.2015;2;101.142857
29.tyzden.2015;6;48.714286
30.tyzden.2015;7;34.571429
31.tyzden.2015;6;63.142857
32.tyzden.2015;11;90.571429
33.tyzden.2015;8;55.857143
34.tyzden.2015;9;58.857143
35.tyzden.2015;4;58.285714
36.tyzden.2015;10;35.714286
37.tyzden.2015;14;63.142857
38.tyzden.2015;8;69.285714
39.tyzden.2015;5;120.571429
40.tyzden.2015;9;84.285714
41.tyzden.2015;8;25.714286
42.tyzden.2015;17;59.857143
43.tyzden.2015;11;87.428571
44.tyzden.2015;9;81.142857
45.tyzden.2015;15;88.428571
46.tyzden.2015;15;58.285714
47.tyzden.2015;6;47.142857
48.tyzden.2015;8;57.857143
49.tyzden.2015;12;43.000000
50.tyzden.2015;8;74.428571
51.tyzden.2015;16;56.285714
52.tyzden.2015;10;56.363636
1.tyzden.2016;6;59.800000
2.tyzden.2016;11;44.714286
3.tyzden.2016;7;60.571429
4.tyzden.2016;6;61.571429
5.tyzden.2016;6;79.714286
6.tyzden.2016;4;68.571429
7.tyzden.2016;4;44.428571
8.tyzden.2016;7;34.428571
9.tyzden.2016;3;77.142857
10.tyzden.2016;0;70.142857
11.tyzden.2016;3;57.142857
12.tyzden.2016;2;29.571429
13.tyzden.2016;6;17.000000
14.tyzden.2016;0;28.000000
15.tyzden.2016;13;40.714286
16.tyzden.2016;3;25.857143
17.tyzden.2016;7;75.142857
18.tyzden.2016;3;60.285714
19.tyzden.2016;11;77.571429
20.tyzden.2016;5;36.857143
21.tyzden.2016;4;30.000000
22.tyzden.2016;2;20.285714
23.tyzden.2016;9;23.428571
24.tyzden.2016;7;40.000000
25.tyzden.2016;6;15.285714
26.tyzden.2016;11;4.428571
27.tyzden.2016;8;28.285714
28.tyzden.2016;9;57.285714
29.tyzden.2016;8;44.571429
30.tyzden.2016;5;9.428571
31.tyzden.2016;9;24.285714
32.tyzden.2016;3;71.428571
33.tyzden.2016;7;47.142857
34.tyzden.2016;5;49.857143
35.tyzden.2016;8;68.857143
36.tyzden.2016;5;58.285714
37.tyzden.2016;18;29.428571
38.tyzden.2016;11;50.285714
39.tyzden.2016;10;18.428571
40.tyzden.2016;4;52.000000
41.tyzden.2016;8;45.857143
42.tyzden.2016;9;24.428571
43.tyzden.2016;10;22.714286
44.tyzden.2016;8;17.714286
45.tyzden.2016;2;17.571429
46.tyzden.2016;8;25.428571
47.tyzden.2016;13;12.857143
48.tyzden.2016;8;49.571429
49.tyzden.2016;8;19.000000
50.tyzden.2016;9;14.714286
51.tyzden.2016;8;11.857143
52.tyzden.2016;4;10.166667
1.tyzden.2017;0;4.375000
2.tyzden.2017;4;14.000000
3.tyzden.2017;7;46.142857
4.tyzden.2017;13;40.142857
5.tyzden.2017;6;34.000000
6.tyzden.2017;7;17.714286
7.tyzden.2017;6;18.857143
8.tyzden.2017;6;29.857143
9.tyzden.2017;5;39.428571
10.tyzden.2017;4;0.000000
11.tyzden.2017;7;0.000000
12.tyzden.2017;8;14.857143
13.tyzden.2017;13;61.428571
14.tyzden.2017;5;42.428571
15.tyzden.2017;6;13.428571
16.tyzden.2017;6;25.571429
17.tyzden.2017;3;35.000000
18.tyzden.2017;6;22.428571
19.tyzden.2017;3;5.285714
20.tyzden.2017;5;21.857143
21.tyzden.2017;2;32.285714
22.tyzden.2017;13;14.428571
23.tyzden.2017;9;12.285714
24.tyzden.2017;7;20.285714
25.tyzden.2017;6;26.142857
26.tyzden.2017;4;16.428571
27.tyzden.2017;9;17.571429
28.tyzden.2017;10;44.142857
29.tyzden.2017;5;3.142857
30.tyzden.2017;5;8.857143
31.tyzden.2017;7;11.285714
32.tyzden.2017;2;12.571429
33.tyzden.2017;4;38.285714
34.tyzden.2017;12;55.428571
35.tyzden.2017;9;58.142857
36.tyzden.2017;7;88.285714
37.tyzden.2017;14;16.285714
38.tyzden.2017;8;17.571429
39.tyzden.2017;7;38.857143
40.tyzden.2017;8;21.000000
41.tyzden.2017;21;1.571429
42.tyzden.2017;8;3.142857
43.tyzden.2017;3;23.142857
44.tyzden.2017;2;4.571429
45.tyzden.2017;6;0.000000
46.tyzden.2017;2;12.000000
47.tyzden.2017;3;4.571429
48.tyzden.2017;9;7.857143
49.tyzden.2017;14;5.000000
50.tyzden.2017;5;3.571429
51.tyzden.2017;7;18.000000
52.tyzden.2017;2;9.571429
1.tyzden.2018;0;6.714286
2.tyzden.2018;2;10.428571
3.tyzden.2018;8;9.714286
4.tyzden.2018;4;0.000000
5.tyzden.2018;6;4.857143
6.tyzden.2018;4;21.285714
7.tyzden.2018;4;13.714286
8.tyzden.2018;0;0.000000
9.tyzden.2018;2;9.428571
10.tyzden.2018;8;0.000000
11.tyzden.2018;1;4.000000
12.tyzden.2018;7;0.000000
13.tyzden.2018;5;5.142857
14.tyzden.2018;5;0.000000
15.tyzden.2018;11;9.285714
16.tyzden.2018;3;14.428571
17.tyzden.2018;8;13.000000
18.tyzden.2018;2;6.000000
19.tyzden.2018;8;14.857143
20.tyzden.2018;5;0.000000
21.tyzden.2018;7;25.000000
22.tyzden.2018;10;20.285714
23.tyzden.2018;8;3.000000
24.tyzden.2018;3;11.857143
25.tyzden.2018;4;37.571429
26.tyzden.2018;7;6.285714
27.tyzden.2018;8;0.000000
28.tyzden.2018;5;5.285714
29.tyzden.2018;6;1.714286
30.tyzden.2018;4;0.000000
31.tyzden.2018;9;3.285714
32.tyzden.2018;12;0.000000
33.tyzden.2018;8;10.714286
34.tyzden.2018;8;21.142857
35.tyzden.2018;6;3.428571
36.tyzden.2018;5;4.285714
37.tyzden.2018;2;6.000000
38.tyzden.2018;11;1.857143
39.tyzden.2018;12;2.142857
40.tyzden.2018;10;7.714286
41.tyzden.2018;4;9.571429
42.tyzden.2018;4;4.428571
43.tyzden.2018;5;0.000000
44.tyzden.2018;7;0.000000
45.tyzden.2018;8;4.714286
46.tyzden.2018;7;13.428571
47.tyzden.2018;5;5.857143
48.tyzden.2018;13;1.428571
49.tyzden.2018;7;8.714286
50.tyzden.2018;8;5.000000
51.tyzden.2018;8;0.000000
52.tyzden.2018;4;0.000000
